eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
895.2273,1085.2451,3820.0,20.0,97.63636363636364,1270.0,1270.0,2540.0,0.0,86.0,45.0
514.902,506.45776,2230.0,40.0,80.90196078431373,310.0,220.0,530.0,90.0,61.0,45.0
762.9167,898.9159,3770.0,20.0,86.625,500.0,0.0,500.0,500.0,144.0,45.0
784.34784,782.02814,2340.0,30.0,91.26086956521739,335.0,265.0,600.0,70.0,62.0,45.0
727.84314,780.046,2500.0,0.0,83.76470588235294,416.66666,533.68744,1170.0,0.0,44.0,45.0
660.0,675.7154,2520.0,0.0,90.52173913043478,1430.0,1410.0,2840.0,20.0,89.5,45.0
513.2692,563.88666,3590.0,0.0,80.26923076923077,170.0,0.0,170.0,170.0,94.0,45.0
900.8889,1056.8713,4440.0,0.0,92.06666666666666,335.0,195.0,530.0,140.0,41.5,45.0
831.7778,907.6595,3150.0,0.0,91.35555555555555,650.0,650.0,1300.0,0.0,61.0,45.0
833.7778,928.44977,3970.0,30.0,92.73333333333333,570.0,0.0,570.0,570.0,82.0,45.0
435.4,365.90274,1650.0,20.0,83.48,490.0,0.0,490.0,490.0,73.0,45.0
636.875,726.734,2400.0,20.0,86.875,385.0,225.0,610.0,160.0,73.0,45.0
661.55554,614.12616,2300.0,10.0,91.86666666666666,650.0,0.0,650.0,650.0,106.0,45.0
574.8936,558.8281,2190.0,0.0,88.1063829787234,660.0,0.0,660.0,660.0,87.0,45.0
525.95746,389.85898,1340.0,0.0,88.80851063829788,145.0,55.0,200.0,90.0,60.5,45.0
484.90195,494.11188,2240.0,0.0,82.56862745098039,360.0,330.0,690.0,30.0,61.5,45.0
