trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
34.697674,25.147505,93.0,0.0,96.86046511627907,15.0,0.0,15.0,15.0,140.0,3.0
33.041668,24.148806,105.0,0.0,86.52083333333333,40.5,39.5,80.0,1.0,94.5,3.0
34.09302,24.66031,98.0,0.0,98.06976744186046,1.0,1.0,2.0,0.0,38.0,3.0
33.148937,21.052092,81.0,0.0,90.76595744680851,21.5,21.5,43.0,0.0,48.5,3.0
28.350878,19.811827,94.0,2.0,73.3157894736842,27.0,1.0,28.0,26.0,57.5,3.0
34.622223,25.650028,89.0,1.0,91.4888888888889,24.333334,20.005554,49.0,0.0,58.666666666666664,3.0
32.54,23.08091,96.0,0.0,83.94,39.0,27.0,66.0,12.0,98.5,3.0
32.34,28.267021,114.0,0.0,85.36,24.5,24.5,49.0,0.0,63.5,3.0
36.714287,30.985622,103.0,0.0,98.92857142857143,17.0,0.0,17.0,17.0,126.0,3.0
33.869564,28.037716,106.0,0.0,89.15217391304348,19.0,26.166136,56.0,0.0,52.0,3.0
34.638298,24.97354,100.0,0.0,88.31914893617021,36.5,31.5,68.0,5.0,82.0,3.0
33.916668,21.795292,81.0,0.0,87.16666666666667,14.0,6.0,20.0,8.0,43.5,3.0
35.553192,28.78298,102.0,0.0,87.97872340425532,16.0,0.0,16.0,16.0,85.0,3.0
32.32653,22.396599,105.0,0.0,83.63265306122449,26.0,25.0,51.0,1.0,79.5,3.0
33.217392,22.027565,86.0,0.0,90.1304347826087,13.0,8.0,21.0,5.0,36.5,3.0
36.288887,23.229887,85.0,3.0,93.26666666666667,80.0,0.0,80.0,80.0,147.0,3.0
36.042553,32.406956,111.0,0.0,89.25531914893617,34.5,32.5,67.0,2.0,91.5,3.0
33.32,22.08116,78.0,0.0,83.08,34.5,31.5,66.0,3.0,84.5,3.0
36.847828,28.965473,108.0,0.0,90.47826086956522,19.0,0.0,19.0,19.0,91.0,3.0
37.92683,26.324793,99.0,0.0,103.14634146341463,28.5,8.5,37.0,20.0,75.5,3.0
33.42857,22.508955,101.0,1.0,85.26530612244898,29.0,0.0,29.0,29.0,88.0,3.0
37.666668,28.298298,108.0,0.0,97.57142857142857,5.3333335,4.1096096,10.0,0.0,38.333333333333336,3.0
34.219513,25.56628,114.0,0.0,101.7560975609756,43.0,43.0,86.0,0.0,114.0,3.0
35.48936,29.842047,107.0,0.0,88.91489361702128,12.333333,7.8457346,21.0,2.0,37.0,3.0
36.454544,27.076872,110.0,0.0,95.36363636363636,78.0,0.0,78.0,78.0,201.0,3.0
35.68182,29.133524,98.0,0.0,94.45454545454545,5.3333335,6.847546,15.0,0.0,40.666666666666664,3.0
32.840908,27.259645,101.0,0.0,93.6590909090909,9.5,8.5,18.0,1.0,37.0,3.0
35.68182,24.225992,96.0,0.0,93.72727272727273,7.0,0.0,7.0,7.0,69.0,3.0
38.341465,24.301569,100.0,0.0,100.78048780487805,22.0,26.981476,60.0,0.0,44.0,3.0
35.863636,27.388279,102.0,0.0,93.63636363636364,34.0,0.0,34.0,34.0,76.0,3.0
33.869564,26.537594,97.0,0.0,89.08695652173913,39.0,0.0,39.0,39.0,96.0,3.0
35.682926,37.704525,113.0,0.0,101.17073170731707,99.0,0.0,99.0,99.0,165.0,3.0
36.0,35.18853,116.0,0.0,95.51162790697674,51.0,0.0,51.0,51.0,96.0,3.0
38.325,30.055271,95.0,0.0,102.55,30.0,30.0,60.0,0.0,55.0,3.0
39.44186,34.741104,106.0,0.0,98.13953488372093,11.666667,11.614167,28.0,2.0,33.0,3.0
39.11905,29.741909,99.0,0.0,101.69047619047619,26.5,22.5,49.0,4.0,78.0,3.0
36.2093,35.192863,112.0,0.0,96.04651162790698,9.5,9.5,19.0,0.0,36.5,3.0
31.347826,32.56313,112.0,0.0,89.17391304347827,49.0,47.0,96.0,2.0,99.5,3.0
38.666668,23.076609,75.0,3.0,106.02564102564102,9.5,0.5,10.0,9.0,75.0,3.0
33.577778,24.22899,104.0,0.0,91.06666666666666,50.0,0.0,50.0,50.0,148.0,3.0
35.066666,26.940594,96.0,1.0,91.5111111111111,16.0,0.0,16.0,16.0,79.0,3.0
33.895832,28.322723,102.0,0.0,86.41666666666667,19.0,19.0,38.0,0.0,54.0,3.0
35.80488,35.926903,123.0,0.0,100.8780487804878,18.0,0.0,18.0,18.0,113.0,3.0
39.45,23.593378,99.0,4.0,102.425,26.5,3.5,30.0,23.0,51.0,3.0
37.023254,27.904728,106.0,0.0,96.53488372093024,22.5,19.5,42.0,3.0,61.5,3.0
35.11111,30.705935,115.0,1.0,92.17777777777778,69.0,0.0,69.0,69.0,187.0,3.0
37.511627,28.643253,108.0,0.0,95.27906976744185,25.0,0.0,25.0,25.0,82.0,3.0
34.8,25.172825,97.0,1.0,91.06666666666666,12.0,0.0,12.0,12.0,94.0,3.0
34.148937,19.893309,85.0,0.0,88.34042553191489,21.0,5.0,26.0,16.0,62.0,3.0
34.51064,23.781694,110.0,2.0,89.27659574468085,49.5,30.5,80.0,19.0,85.0,3.0
37.642857,32.943546,110.0,0.0,98.28571428571429,21.5,20.5,42.0,1.0,55.0,3.0
38.82927,31.3959,112.0,0.0,104.65853658536585,33.666668,43.438335,95.0,0.0,83.66666666666667,3.0
37.90244,32.94771,108.0,0.0,102.1219512195122,20.0,18.0,38.0,2.0,80.0,3.0
36.697674,36.54531,114.0,0.0,95.79069767441861,21.0,0.0,21.0,21.0,79.0,3.0
37.279068,34.924717,112.0,0.0,98.53488372093024,29.0,25.0,54.0,4.0,62.5,3.0
37.152172,29.486155,113.0,0.0,92.19565217391305,31.0,7.0,38.0,24.0,68.5,3.0
38.585365,31.68517,118.0,0.0,100.4390243902439,22.0,9.0,31.0,13.0,60.0,3.0
38.227272,35.15541,120.0,0.0,96.6590909090909,25.0,0.0,25.0,25.0,87.0,3.0
37.77778,33.939743,105.0,0.0,92.37777777777778,17.0,10.0,27.0,7.0,80.0,3.0
35.422222,30.940437,114.0,0.0,91.62222222222222,48.5,39.5,88.0,9.0,117.0,3.0
35.658535,33.83144,114.0,0.0,100.14634146341463,41.0,0.0,41.0,41.0,80.0,3.0
40.35,37.296482,115.0,1.0,104.5,11.0,7.788881,17.0,0.0,45.666666666666664,3.0
38.634148,35.180897,115.0,0.0,102.48780487804878,19.0,12.0,31.0,7.0,69.0,3.0
40.974358,35.916916,107.0,0.0,106.25641025641026,35.0,0.0,35.0,35.0,77.0,3.0
38.875,35.479,112.0,1.0,103.6,29.0,0.0,29.0,29.0,77.0,3.0
35.065216,38.337406,114.0,0.0,90.30434782608695,33.0,33.0,66.0,0.0,105.5,3.0
40.146343,35.67096,119.0,0.0,102.8048780487805,6.0,0.0,6.0,6.0,70.0,3.0
39.5,36.258102,110.0,0.0,103.275,40.5,15.5,56.0,25.0,80.5,3.0
41.390244,37.61608,120.0,0.0,101.95121951219512,19.0,19.0,38.0,0.0,54.0,3.0
